Date,Time,Open,High,Low,Close,Volume
01/09/2017,1330,0.080013,0.080123,0.079902,0.079902,107951
01/09/2017,1335,0.079902,0.079955,0.079902,0.079955,13191
01/09/2017,1340,0.080316,0.080316,0.080316,0.080316,245954
01/09/2017,1345,0.080033,0.080033,0.079927,0.079927,20831
01/09/2017,1350,0.079902,0.079902,0.079902,0.079902,479597
01/09/2017,1355,0.079902,0.079902,0.079705,0.079705,4611684
01/09/2017,1400,0.079706,0.079706,0.079706,0.079706,9581
01/09/2017,1405,0.080000,0.080000,0.080000,0.080000,53
01/09/2017,1410,0.080001,0.080001,0.080001,0.080001,80081
01/09/2017,1415,0.080114,0.080114,0.080114,0.080114,14576
01/09/2017,1420,0.080114,0.080114,0.080114,0.080114,200
